Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
14,52,Peñarroya-Pueblonuevo,9.149,4.448,94,68
14,53,Posadas,5.907,3.533,92,71
14,54,Pozoblanco,13.726,9.297,314,115
14,55,Priego de Córdoba,18.427,11.569,274,185
14,56,Puente Genil,23.534,13.882,816,269
14,58,Rute,7.850,4.803,141,74
14,59,San Sebastián de los Ballesteros,682,477,6,13
14,61,Santa Eufemia,687,502,18,4
14,60,Santaella,4.826,3.121,92,52
14,62,Torrecampo,955,660,11,1
14,63,Valenzuela,1.003,655,14,7
14,64,Valsequillo,300,207,10,3
14,66,Villa del Río,5.780,3.411,91,51
14,67,Villafranca de Córdoba,3.866,2.673,62,42
14,68,Villaharta,534,356,3,8
14,69,Villanueva de Córdoba,7.372,4.471,94,43
14,70,Villanueva del Duque,1.280,857,14,8
14,71,Villanueva del Rey,900,478,15,12
14,72,Villaralto,1.010,659,13,3
14,73,Villaviciosa de Córdoba,2.803,1.683,67,32
14,75,Zuheros,560,411,9,1
14,990,Residentes Ausentes Córdoba,17.944,678,2,3
18,1,Agrón,237,154,10,0
18,2,Alamedilla,535,336,3,2
18,3,Albolote,14.341,8.793,359,132
18,4,Albondón,684,407,9,3
18,5,Albuñán,367,227,4,2
18,6,Albuñol,4.063,2.505,69,35
18,7,Albuñuelas,745,417,9,6
18,10,Aldeire,539,360,13,1
18,11,Alfacar,4.353,2.617,95,23
18,12,Algarinejo,2.160,1.422,33,13
18,13,Alhama de Granada,4.162,2.581,115,34
18,14,Alhendín,6.858,4.084,197,77
18,15,Alicún de Ortega,411,291,1,0
18,16,Almegíjar,288,173,4,2
18,17,Almuñécar,18.120,9.785,162,105
18,904,Alpujarra de la Sierra,729,489,8,3
18,18,Alquife,557,369,7,0
18,20,Arenas del Rey,982,591,24,5
18,21,Armilla,17.698,10.366,431,178
18,22,Atarfe,13.758,7.525,346,125
18,23,Baza,15.642,9.546,212,115
18,24,Beas de Granada,838,561,25,13
18,25,Beas de Guadix,282,175,2,0
18,27,Benalúa,2.598,1.505,27,22
18,28,Benalúa de las Villas,911,664,9,3
18,29,Benamaurel,1.810,952,22,8
18,30,Bérchules,567,367,4,10
18,32,Bubión,242,149,2,0
18,33,Busquístar,275,180,3,1
18,34,Cacín,475,321,9,2
18,35,Cádiar,1.180,827,20,7
18,36,Cájar,3.904,2.578,89,36
18,37,Calicasas,520,356,12,4
18,38,Campotéjar,1.035,686,54,9
18,39,Caniles,3.382,2.020,50,30
18,40,Cáñar,217,119,1,1
18,42,Capileira,420,308,14,11
18,43,Carataunas,119,64,3,1
18,44,Cástaras,163,90,1,2
18,45,Castilléjar,1.070,605,17,7
18,46,Castril,1.744,855,20,4
18,47,Cenes de la Vega,6.034,3.336,133,58
18,59,Chauchina,4.252,2.560,125,42
18,61,Chimeneas,1.008,665,17,7
18,62,Churriana de la Vega,10.952,6.722,303,76
18,48,Cijuela,2.440,1.511,71,27
18,49,Cogollos de Guadix,570,407,6,2
