,Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
217,41,20,Las Cabezas de San Juan,12.926,6.474,165,131
218,41,66,Las Navas de la Concepción,1.306,826,40,15
219,41,53,Lebrija,21.492,13.462,477,233
220,41,54,Lora de Estepa,714,501,17,3
221,41,55,Lora del Río,14.834,8.392,194,118
222,41,37,Los Corrales,3.205,2.064,87,27
223,41,63,Los Molares,2.692,1.516,58,38
224,41,69,Los Palacios y Villafranca,29.481,17.399,464,503
225,41,58,Mairena del Alcor,17.814,10.886,411,189
226,41,59,Mairena del Aljarafe,34.999,22.694,437,397
227,41,60,Marchena,15.083,8.806,257,152
228,41,61,Marinaleda,2.152,1.493,49,5
229,41,62,Martín de la Jara,2.182,1.434,53,13
230,41,64,Montellano,5.596,2.924,107,53
231,41,65,Morón de la Frontera,22.538,12.164,265,256
232,41,67,Olivares,7.185,4.253,112,58
233,41,68,Osuna,13.875,8.246,221,113
234,41,70,Palomares del Río,6.317,3.914,74,77
235,41,71,Paradas,5.608,2.925,121,48
236,41,72,Pedrera,4.029,2.630,62,32
237,41,74,Peñaflor,2.994,1.956,56,22
238,41,75,Pilas,10.266,5.872,166,79
239,41,76,Pruna,2.149,966,13,23
240,41,85,Salteras,4.150,2.866,110,28
241,41,86,San Juan de Aznalfarache,16.105,8.544,149,159
242,41,88,San Nicolás del Puerto,509,303,10,2
243,41,87,Sanlúcar la Mayor,10.417,6.041,244,70
244,41,89,Santiponce,6.558,3.903,113,61
245,41,91,Sevilla,539.535,339.226,5.661,5.675
246,41,92,Tocina,7.685,4.438,130,79
247,41,93,Tomares,18.926,12.964,155,204
248,41,94,Umbrete,6.423,3.930,127,53
249,41,95,Utrera,41.570,23.026,488,571
250,41,96,Valencina de la Concepción,6.109,4.125,92,58
251,41,97,Villamanrique de la Condesa,3.147,1.940,60,29
252,41,100,Villanueva de San Juan,972,623,44,4
253,41,98,Villanueva del Ariscal,5.122,3.258,72,41
254,41,99,Villanueva del Río y Minas,3.968,2.005,37,26
255,41,101,Villaverde del Río,5.966,3.605,91,58
256,41,990,Residentes Ausentes Sevilla,34.050,1.310,9,5
258,4,1,Abla,1.012,634,12,5
259,4,2,Abrucena,1.023,649,8,5
260,4,3,Adra,17.491,9.649,145,94
261,4,4,Albánchez,402,287,7,5
262,4,5,Alboloduy,529,365,6,0
263,4,6,Albox,7.192,3.973,47,35
264,4,7,Alcolea,724,455,6,2
265,4,8,Alcóntar,468,335,4,0
266,4,9,Alcudia de Monteagud,139,99,5,0
267,4,10,Alhabia,552,379,9,8
268,4,11,Alhama de Almería,2.757,1.895,36,22
269,4,12,Alicún,181,147,0,1
270,4,13,Almería,143.010,78.947,817,1.016
271,4,14,Almócita,153,106,1,2
272,4,15,Alsodux,120,94,1,0
273,4,16,Antas,2.125,1.356,19,8
274,4,17,Arboleas,1.284,742,7,6
275,4,18,Armuña de Almanzora,254,200,9,3
276,4,19,Bacares,230,164,2,0
277,4,904,Balanegra,1.876,1.092,10,5
278,4,20,Bayárcal,253,173,2,1
279,4,21,Bayarque,178,126,1,2
280,4,22,Bédar,353,209,3,2
281,4,23,Beires,126,82,1,3
282,4,24,Benahadux,3.208,2.042,38,32
283,4,26,Benitagla,59,42,1,1
284,4,27,Benizalón,219,101,0,0
285,4,28,Bentarique,203,168,4,2
286,4,29,Berja,8.752,4.910,77,64
287,4,30,Canjáyar,1.073,692,13,13
288,4,31,Cantoria,2.253,1.545,19,8
289,4,32,Carboneras,5.643,3.073,25,29
290,4,33,Castro de Filabres,116,81,0,0
291,4,36,Chercos,223,156,1,0
292,4,37,Chirivel,1.232,877,21,7
293,4,34,Cóbdar,141,80,0,0
294,4,35,Cuevas del Almanzora,8.428,5.089,54,46
295,4,38,Dalías,3.094,1.882,47,23
296,4,902,El Ejido,45.256,25.306,310,278
297,4,41,Enix,314,202,1,1
298,4,43,Felix,508,385,1,2
299,4,44,Fines,1.516,1.024,11,11
300,4,45,Fiñana,1.700,1.206,35,12
301,4,46,Fondón,838,555,5,5
302,4,47,Gádor,2.240,1.642,31,15
303,4,49,Garrucha,5.548,3.168,53,23
304,4,50,Gérgal,756,427,7,0
305,4,51,Huécija,412,304,5,5
306,4,52,Huércal de Almería,12.641,7.016,101,138
307,4,53,Huércal-Overa,12.469,7.799,135,78
308,4,54,Íllar,352,252,2,6
309,4,55,Instinción,368,292,1,3
310,4,903,La Mojonera,4.285,2.508,26,39
311,4,56,Laroya,149,106,0,1
312,4,901,Las Tres Villas,484,307,0,1
313,4,57,Láujar de Andarax,1.265,821,17,10
314,4,58,Líjar,341,214,1,1
315,4,48,Los Gallardos,1.480,915,22,7
316,4,59,Lubrín,1.016,686,16,1
317,4,60,Lucainena de las Torres,404,244,3,6
318,4,61,Lúcar,620,422,8,6
319,4,62,Macael,4.439,2.940,38,15
320,4,63,María,1.073,702,8,6
