Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;NA;PP;CAnda;PACMA;PSOE-A;VOX;PCPA;AxSÍ;RECORTES CERO - M+J - GV;UPYD;ADELANTE ANDALUCÍA;EQUO-INICIATIVA;IZAR;UNIDOS SÍ-Democracia Efectiva
18;106;Játar;;414;0;414;238;11;4;176;227;223;36;0;68;0;2;99;12;0;0;0;0;6;0;0;0
18;107;Jayena;;932;0;932;589;21;4;343;568;564;40;1;154;0;4;295;30;0;0;1;0;39;0;0;0
18;108;Jerez del Marquesado;;829;0;829;558;16;9;271;542;533;65;1;112;0;7;237;33;4;0;0;1;71;0;0;2
18;109;Jete;;600;0;600;339;4;3;261;335;332;47;0;117;2;1;109;33;0;1;0;1;20;1;0;0
18;111;Jun;;2.845;0;2.845;1.656;61;29;1.189;1.595;1.566;331;1;219;1;36;419;201;8;8;4;5;322;7;3;1
18;112;Juviles;;107;0;107;62;6;0;45;56;56;10;0;15;0;1;18;11;0;0;0;0;1;0;0;0
18;114;La Calahorra;;584;0;584;381;3;1;203;378;377;38;0;75;0;6;155;41;2;0;0;1;57;1;1;0
18;126;La Malahá;;1.454;1;1.455;919;44;25;536;875;850;107;0;92;0;16;294;47;6;2;3;0;281;1;0;1
18;154;La Peza;;978;0;978;561;1;2;417;560;558;43;0;212;0;0;203;83;0;0;0;0;17;0;0;0
18;901;La Taha;;491;0;491;272;7;3;219;265;262;25;0;80;0;5;68;30;1;0;0;1;51;1;0;0
18;193;La Zubia;;14.670;0;14.670;8.839;330;145;5.831;8.509;8.364;1.838;19;1.780;6;258;1.702;1.049;23;24;26;19;1.532;75;8;5
18;115;Láchar;;2.615;0;2.615;1.583;26;30;1.032;1.557;1.527;204;3;275;3;14;569;121;2;3;1;1;330;1;0;0
18;116;Lanjarón;;2.834;0;2.834;1.911;73;23;923;1.838;1.815;217;3;641;2;22;532;128;5;7;5;2;237;8;2;4
18;117;Lanteira;;500;0;500;317;19;2;183;298;296;17;1;66;2;2;142;23;3;0;0;0;38;0;1;1
18;905;Las Gabias;;15.427;0;15.427;8.907;406;179;6.520;8.501;8.322;1.857;14;1.687;10;252;1.893;1.119;21;31;22;19;1.346;39;6;6
18;119;Lecrín;;1.690;0;1.690;1.129;45;21;561;1.084;1.063;168;1;316;0;20;328;89;1;0;0;0;134;4;0;2
18;120;Lentegí;;258;0;258;184;3;4;74;181;177;14;0;24;2;4;118;8;0;0;0;0;7;0;0;0
18;121;Lobras;;130;0;130;85;4;2;45;81;79;6;0;20;0;0;33;3;0;1;0;0;15;0;0;1
18;122;Loja;;15.959;0;15.959;9.896;300;134;6.063;9.596;9.462;1.536;13;2.650;11;157;3.291;822;13;22;20;8;890;18;2;9
18;906;Los Guájares;;889;0;889;605;8;5;284;597;592;48;0;220;0;1;192;74;0;0;0;0;56;1;0;0
18;123;Lugros;;287;0;287;184;3;3;103;181;178;31;0;39;0;0;87;13;0;0;0;0;7;0;1;0
18;124;Lújar;;360;0;360;208;7;0;152;201;201;12;0;98;0;1;52;29;1;0;0;0;8;0;0;0
18;127;Maracena;;16.712;0;16.712;10.089;428;168;6.623;9.661;9.493;1.997;9;1.480;11;242;2.623;1.002;26;14;33;18;1.974;41;15;8
18;128;Marchal;;334;0;334;222;7;2;112;215;213;15;0;82;2;3;61;14;0;1;0;0;34;0;1;0
18;132;Moclín;;3.142;0;3.142;2.127;59;20;1.015;2.068;2.048;266;3;271;0;24;1.017;63;7;2;1;1;390;2;0;1
18;133;Molvízar;;2.118;0;2.118;1.423;25;17;695;1.398;1.381;110;0;615;0;10;424;117;3;1;1;1;95;4;0;0
18;134;Monachil;;6.039;0;6.039;3.380;114;62;2.659;3.266;3.204;609;5;676;7;75;610;501;0;13;8;9;662;23;3;3
18;135;Montefrío;;4.420;0;4.420;2.455;127;23;1.965;2.328;2.305;367;1;466;1;43;1.073;143;8;8;2;1;187;2;0;3
18;136;Montejícar;;1.795;0;1.795;1.180;59;7;615;1.121;1.114;103;2;210;0;9;549;50;3;2;0;2;182;1;0;1
18;137;Montillana;;945;0;945;593;16;4;352;577;573;56;0;242;0;2;217;40;0;0;0;0;16;0;0;0
18;138;Moraleda de Zafayona;;2.472;0;2.472;1.279;37;11;1.193;1.242;1.231;121;1;160;1;5;483;120;8;1;0;1;327;1;0;2
18;909;Morelábor;;535;0;535;371;5;1;164;366;365;25;0;115;0;0;168;36;0;1;0;0;18;0;0;2
18;140;Motril;;43.980;1;43.981;23.830;542;332;20.151;23.288;22.956;3.775;53;5.611;44;434;5.727;2.756;46;815;39;30;3.461;145;8;12
18;141;Murtas;;378;0;378;215;3;0;163;212;212;28;2;109;0;0;41;19;0;0;0;0;13;0;0;0
18;903;Nevada;;867;0;867;501;12;3;366;489;486;69;0;112;0;1;197;79;0;0;1;1;25;0;0;1
18;143;Nigüelas;;954;0;954;600;35;3;354;565;562;97;1;83;0;15;159;41;2;0;2;0;156;2;0;4
18;144;Nívar;;793;0;793;499;24;6;294;475;469;107;1;110;0;8;69;73;0;0;3;1;94;3;0;0
18;145;Ogíjares;;10.800;6;10.806;6.789;255;101;4.017;6.534;6.433;1.527;9;1.417;7;156;1.247;958;9;7;21;14;1.012;40;3;6
18;146;Orce;;941;0;941;584;20;5;357;564;559;109;2;110;0;3;225;50;1;1;0;2;49;5;0;2
18;147;Órgiva;;3.664;0;3.664;2.024;68;31;1.640;1.956;1.925;274;4;462;1;21;707;139;4;4;3;0;293;7;3;3
18;148;Otívar;;804;0;804;558;8;8;246;550;542;40;0;209;1;8;184;42;0;3;0;0;55;0;0;0
18;150;Padul;;6.816;0;6.816;4.154;169;70;2.662;3.985;3.915;723;3;889;6;61;1.024;398;7;3;2;6;772;9;6;6
